concept_id,concept_code,concept_name,vocabulary_id,fluid,category
40708270,OMOP4749411,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 12 by Maco,RxNorm Extension,ringer,balanced
40708274,OMOP4749407,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] Box of 1 by Maco,RxNorm Extension,ringer,balanced
40708276,OMOP4749405,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Macoflex] by Maco,RxNorm Extension,ringer,balanced
40708281,OMOP4749400,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Polyfusor H],RxNorm Extension,ringer,balanced
40708279,OMOP4749402,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Polyfusor H] Box of 1,RxNorm Extension,ringer,balanced
40708278,OMOP4749403,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Polyfusor H] Box of 1 by Fresenius,RxNorm Extension,ringer,balanced
40708280,OMOP4749401,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Polyfusor H] by Fresenius,RxNorm Extension,ringer,balanced
40708263,OMOP4749418,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO],RxNorm Extension,ringer,balanced
40708261,OMOP4749420,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] Box of 1,RxNorm Extension,ringer,balanced
40708259,OMOP4749422,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] Box of 10,RxNorm Extension,ringer,balanced
40708258,OMOP4749423,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] Box of 10 by Baxter,RxNorm Extension,ringer,balanced
40708260,OMOP4749421,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] Box of 1 by Baxter,RxNorm Extension,ringer,balanced
40708262,OMOP4749419,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [RINGER LACTATE VIAFLO] by Baxter,RxNorm Extension,ringer,balanced
40708287,OMOP4749394,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex],RxNorm Extension,ringer,balanced
40708285,OMOP4749396,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] Box of 1,RxNorm Extension,ringer,balanced
40708283,OMOP4749398,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] Box of 10,RxNorm Extension,ringer,balanced
40708282,OMOP4749399,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] Box of 10 by Fresenius,RxNorm Extension,ringer,balanced
40708284,OMOP4749397,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] Box of 1 by Fresenius,RxNorm Extension,ringer,balanced
40708286,OMOP4749395,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Steriflex] by Fresenius,RxNorm Extension,ringer,balanced
40708269,OMOP4749412,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex],RxNorm Extension,ringer,balanced
40708267,OMOP4749414,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] Box of 1,RxNorm Extension,ringer,balanced
40708265,OMOP4749416,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] Box of 10,RxNorm Extension,ringer,balanced
40708264,OMOP4749417,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] Box of 10 by Baxter,RxNorm Extension,ringer,balanced
40708266,OMOP4749415,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] Box of 1 by Baxter,RxNorm Extension,ringer,balanced
40708268,OMOP4749413,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflex] by Baxter,RxNorm Extension,ringer,balanced
40708302,OMOP4749381,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound],RxNorm Extension,ringer,balanced
40708300,OMOP4749383,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] Box of 1,RxNorm Extension,ringer,balanced
40708298,OMOP4749385,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] Box of 10,RxNorm Extension,ringer,balanced
40708297,OMOP4749386,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] Box of 10 by Baxter,RxNorm Extension,ringer,balanced
40708299,OMOP4749384,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] Box of 1 by Baxter,RxNorm Extension,ringer,balanced
40708301,OMOP4749382,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution [Viaflo Sodium lactate compound] by Baxter,RxNorm Extension,ringer,balanced
43209613,OMOP432014,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe,RxNorm Extension,ringer,balanced
43209614,OMOP432015,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe Box of 1,RxNorm Extension,ringer,balanced
43154796,OMOP432016,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE LAVOISIER],RxNorm Extension,ringer,balanced
43220609,OMOP432017,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE LAVOISIER] Box of 1,RxNorm Extension,ringer,balanced
43154797,OMOP432018,1000 ML Calcium Chloride 0.268 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE LAVOISIER] Box of 1 by Chaix Et Du Marais,RxNorm Extension,ringer,balanced
2902665,OMOP5119519,1000 ML calcium chloride 0.268 MG/ML / lactate 3.1 MG/ML / potassium chloride 2.2 MG/ML / sodium chloride 6 MG/ML Injection,RxNorm Extension,ringer,balanced
43044397,OMOP4859404,1000 ML Calcium Chloride 0.268 MG/ML / Potassium Chloride 0.4 MG/ML / sodium (s) lactate 3.1 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,ringer,balanced
43044398,OMOP4859405,1000 ML Calcium Chloride 0.268 MG/ML / Potassium Chloride 0.4 MG/ML / sodium (s) lactate 3.1 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Chaix Et Du Marais,RxNorm Extension,ringer,balanced
43723741,OMOP868582,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.41 MG/ML / Sodium Chloride 6.02 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution [Ringer-Lactat] by Honberg Apotheke,RxNorm Extension,ringer,balanced
43687934,OMOP868567,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution,RxNorm Extension,ringer,balanced
43615805,OMOP868573,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Antonius-Apotheke,RxNorm Extension,ringer,balanced
43687935,OMOP868576,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Apotheke,RxNorm Extension,ringer,balanced
43652061,OMOP868570,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Bfarm Bundesinstitut Fuer Und Medizinprodukte,RxNorm Extension,ringer,balanced
43777801,OMOP868575,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Diprom,RxNorm Extension,ringer,balanced
43813807,OMOP868574,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Loewen-Apotheke,RxNorm Extension,ringer,balanced
43670058,OMOP868578,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Meditrade Medicare Medizinprodukte,RxNorm Extension,ringer,balanced
43849916,OMOP868572,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Mocho-Apotheke Thomas Pforr,RxNorm Extension,ringer,balanced
43687936,OMOP868583,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Oberlaender-Apoheke,RxNorm Extension,ringer,balanced
43597831,OMOP868571,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Pfingstweide-Apotheke Juergen Duerrwang,RxNorm Extension,ringer,balanced
43759696,OMOP868577,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Rathaus-Apotheke,RxNorm Extension,ringer,balanced
43597832,OMOP868580,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Ronhof-Apotheke,RxNorm Extension,ringer,balanced
43633988,OMOP868581,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution by Serag-Wiessner,RxNorm Extension,ringer,balanced
43813806,OMOP868569,1000 ML Calcium Chloride 0.26 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML / sodium dl-lactate 3.14 MG/ML Injectable Solution [Ringer-Lactat],RxNorm Extension,ringer,balanced
42918203,OMOP4645087,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,ringer,balanced
43187761,OMOP432047,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe,RxNorm Extension,ringer,balanced
43187762,OMOP432048,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe Box of 1,RxNorm Extension,ringer,balanced
43143664,OMOP432049,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe Box of 10,RxNorm Extension,ringer,balanced
43187763,OMOP432050,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER FRESENIUS],RxNorm Extension,ringer,balanced
43220613,OMOP432051,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER FRESENIUS] Box of 1,RxNorm Extension,ringer,balanced
43165807,OMOP432053,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER FRESENIUS] Box of 10,RxNorm Extension,ringer,balanced
43220615,OMOP432055,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER FRESENIUS] Box of 10 by Fresenius,RxNorm Extension,ringer,balanced
43220614,OMOP432052,1000 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER FRESENIUS] Box of 1 by Fresenius,RxNorm Extension,ringer,balanced
43044391,OMOP4859398,1000 ML Calcium Chloride 0.2 MG/ML / Potassium Chloride 0.4 MG/ML / sodium (s) lactate 3.17 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution,RxNorm Extension,ringer,balanced
43044393,OMOP4859400,1000 ML Calcium Chloride 0.2 MG/ML / Potassium Chloride 0.4 MG/ML / sodium (s) lactate 3.17 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution Box of 10,RxNorm Extension,ringer,balanced
43044394,OMOP4859401,1000 ML Calcium Chloride 0.2 MG/ML / Potassium Chloride 0.4 MG/ML / sodium (s) lactate 3.17 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution Box of 10 by Fresenius,RxNorm Extension,ringer,balanced
43044392,OMOP4859399,1000 ML Calcium Chloride 0.2 MG/ML / Potassium Chloride 0.4 MG/ML / sodium (s) lactate 3.17 MG/ML / Sodium Chloride 6 MG/ML Injectable Solution by Fresenius,RxNorm Extension,ringer,balanced
43165792,OMOP431942,1000 ML Calcium Chloride 0.3 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe,RxNorm Extension,ringer,balanced
43198769,OMOP431943,1000 ML Calcium Chloride 0.3 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe Box of 1,RxNorm Extension,ringer,balanced
43165793,OMOP431944,1000 ML Calcium Chloride 0.3 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE GLUCOSE A],RxNorm Extension,ringer,balanced
43154790,OMOP431945,1000 ML Calcium Chloride 0.3 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE GLUCOSE A] Box of 1,RxNorm Extension,ringer,balanced
43176800,OMOP431946,1000 ML Calcium Chloride 0.3 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE GLUCOSE A] Box of 1 by Aguettant,RxNorm Extension,ringer,balanced
43198775,OMOP432008,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe,RxNorm Extension,ringer,balanced
43198771,OMOP431991,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe Box of 10,RxNorm Extension,ringer,balanced
43187754,OMOP432009,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe Box of 6,RxNorm Extension,ringer,balanced
43187755,OMOP432010,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE PHARMACIE CENTRALE DES ARMEES],RxNorm Extension,ringer,balanced
43165804,OMOP432011,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE PHARMACIE CENTRALE DES ARMEES] Box of 6,RxNorm Extension,ringer,balanced
43209612,OMOP432013,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE PHARMACIE CENTRALE DES ARMEES] Box of 6 by Pharmacie Centrale Des Armees,RxNorm Extension,ringer,balanced
43165801,OMOP431992,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE VIAFLO],RxNorm Extension,ringer,balanced
43143656,OMOP431993,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE VIAFLO] Box of 10,RxNorm Extension,ringer,balanced
43154793,OMOP431994,1000 ML Calcium Chloride 0.3 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.4 MG/ML / Sodium Chloride 6 MG/ML Prefilled Syringe [RINGER LACTATE VIAFLO] Box of 10 by Baxter,RxNorm Extension,ringer,balanced
44134823,OMOP1129454,100 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injection,RxNorm Extension,ringer,balanced
44134969,OMOP1129600,100 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injection by Baxter,RxNorm Extension,ringer,balanced
44135247,OMOP1129878,100 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injection by B.Braun,RxNorm Extension,ringer,balanced
44134741,OMOP1129372,100 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Intravenous Solution [Dextrose In Lactated Ringer'S],RxNorm Extension,ringer,balanced
44135101,OMOP1129732,100 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 1.8 MG/ML / Sodium Chloride 6 MG/ML Injection,RxNorm Extension,ringer,balanced
44135064,OMOP1129695,100 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 1.8 MG/ML / Sodium Chloride 6 MG/ML Injection by Baxter,RxNorm Extension,ringer,balanced
44134690,OMOP1129321,100 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 3.36 MG/ML / Sodium Chloride 6 MG/ML Injection,RxNorm Extension,ringer,balanced
44135161,OMOP1129792,100 ML Calcium Chloride 0.2 MG/ML / Glucose 50 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 3.36 MG/ML / Sodium Chloride 6 MG/ML Injection by Baxter,RxNorm Extension,ringer,balanced
44135194,OMOP1129825,100 ML Calcium Chloride 0.2 MG/ML / Lactate 3.1 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML Injection,RxNorm Extension,ringer,balanced
